step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.790439210790444,0,0.0,0.9200595064076434,0,0.0
10.0,0,0.0,0.0,12.195119616173551,0,0.0,0.8721516546294686,0,0.0
15.0,4,4.0,0.2222222222222222,7.73795013667688,4,4.0,0.4927470588996831,4,4.0
20.0,6,31.0,1.8235294117647058,7.640911405491901,6,31.0,0.40952818866995594,6,31.0
25.0,4,44.0,2.0,6.6941295323690575,4,48.0,0.3777005290921699,4,48.0
30.0,6,71.0,3.736842105263158,8.346139447940377,6,71.0,0.4603975680065544,6,71.0
35.0,5,48.0,2.0869565217391304,6.825863068972337,5,61.0,0.31997603629752713,5,61.0
40.0,7,80.0,3.2,8.589606015629867,7,80.0,0.5329227816088973,7,80.0
45.0,4,66.0,2.4444444444444446,7.933184789036563,4,90.0,0.4904943579165488,4,90.0
50.0,3,73.0,2.92,7.719426644527751,3,78.0,0.42456718997319176,3,78.0
55.0,8,32.0,1.1851851851851851,6.474035277603364,8,37.0,0.3062581603009893,8,37.0
60.0,13,86.0,3.5833333333333335,5.221458527311295,13,91.0,0.22694518810545278,13,91.0
65.0,11,106.0,3.925925925925926,4.350830973602364,11,135.0,0.2620020690862363,11,135.0
70.0,8,137.0,5.48,6.850162952505464,8,148.0,0.38110246080023735,8,148.0
75.0,7,103.0,2.7837837837837838,7.649443375868358,7,134.0,0.4582796362610964,7,134.0
80.0,11,148.0,4.625,7.884978791508183,11,153.0,0.4623479465197617,11,153.0
85.0,14,210.0,5.833333333333333,5.325323866564626,14,215.0,0.23758957395240468,14,215.0
90.0,16,224.0,7.0,4.556748837498912,16,273.0,0.23100632610125477,16,273.0
95.0,10,235.0,7.121212121212121,5.789340725535681,10,280.0,0.3007285120520846,10,280.0
100.0,8,62.0,1.8235294117647058,6.426227181125923,8,206.0,0.32335207888831324,8,206.0
105.0,12,81.0,2.3823529411764706,6.308407298127722,12,132.0,0.28100367122606995,12,132.0
110.0,12,99.0,2.75,6.4146965671799965,12,152.0,0.3554253733487652,12,152.0
115.0,8,109.0,3.303030303030303,6.690533042133118,8,157.0,0.3869579590076336,8,157.0
120.0,6,76.0,2.303030303030303,6.496887095416485,6,119.0,0.35703667210218554,6,119.0
