step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.673782682606245,0,0.0,0.9014818493800233,0,0.0
10.0,0,0.0,0.0,12.004277993136455,0,0.0,0.863834173755062,0,0.0
15.0,6,14.0,0.7777777777777778,7.161939534818503,6,14.0,0.44093875641149965,6,14.0
20.0,6,37.0,2.0555555555555554,7.468518166062838,6,37.0,0.44878394097090163,6,37.0
25.0,6,67.0,2.9130434782608696,6.831548079343185,6,67.0,0.3903787724091954,6,67.0
30.0,8,52.0,2.6,6.024251255955242,8,75.0,0.38417683938919994,8,75.0
35.0,9,93.0,4.2272727272727275,5.312848992743662,9,93.0,0.2696798053868613,9,93.0
40.0,8,94.0,3.357142857142857,6.544598254407158,8,123.0,0.40853246403857324,8,123.0
45.0,6,117.0,4.0344827586206895,7.875156561499936,6,120.0,0.5068343349530141,6,120.0
50.0,4,6.0,0.2,6.712202445430564,4,76.0,0.3483714661126698,4,76.0
55.0,10,41.0,1.3666666666666667,6.588932908964698,10,46.0,0.31041804121591343,10,46.0
60.0,9,50.0,1.8518518518518519,5.64639660596074,9,79.0,0.24985542917472142,9,79.0
65.0,8,72.0,2.3225806451612905,7.046132600244548,8,87.0,0.3691183649893217,8,87.0
70.0,7,43.0,1.5925925925925926,6.264289655230409,7,90.0,0.31291973853740424,7,90.0
75.0,14,95.0,2.7142857142857144,6.184414609461714,14,110.0,0.35738026165193243,14,110.0
80.0,11,116.0,3.515151515151515,6.314066187134691,11,155.0,0.3981578133054843,11,155.0
85.0,6,121.0,3.361111111111111,6.545477496615966,6,152.0,0.3839029541544521,6,152.0
90.0,10,31.0,0.8857142857142857,5.264438400015508,10,141.0,0.2495194998159588,10,141.0
95.0,15,82.0,2.342857142857143,5.121078908598059,15,121.0,0.21753684068575294,15,121.0
100.0,17,123.0,3.5142857142857142,4.763555724427755,17,181.0,0.21679555043106855,17,181.0
105.0,10,135.0,3.75,6.047739717664757,10,193.0,0.2727245562158445,10,193.0
110.0,11,142.0,3.736842105263158,6.355868792481002,11,186.0,0.34250122597047516,11,186.0
115.0,16,213.0,5.916666666666667,4.836872469135325,16,257.0,0.26102772988527245,16,257.0
120.0,20,189.0,5.4,3.069646103940093,20,290.0,0.16397515195201043,20,290.0
125.0,21,292.0,7.891891891891892,3.6664082813543044,21,336.0,0.1674425691031997,21,336.0
130.0,21,308.0,7.897435897435898,4.121456348957329,21,403.0,0.16389623481693338,21,403.0
135.0,15,268.0,6.871794871794871,5.014828294491521,15,403.0,0.21546668257097426,15,403.0
140.0,7,82.0,2.1025641025641026,5.886578231678325,7,332.0,0.27852320360657323,7,332.0
145.0,9,60.0,1.5,6.557522550156554,9,186.0,0.3296607512795767,9,186.0
150.0,13,75.0,1.744186046511628,6.373510975574249,13,201.0,0.34414607035647243,13,201.0
155.0,22,172.0,4.410256410256411,4.094889773006414,22,298.0,0.15530684702607608,22,298.0
160.0,23,189.0,4.609756097560975,3.475458721592025,23,352.0,0.16275782550640763,23,352.0
165.0,17,148.0,3.7948717948717947,4.165199341397628,17,335.0,0.14828578491084815,17,335.0
170.0,10,145.0,3.372093023255814,6.285240443229417,10,283.0,0.2608983538683086,10,283.0
175.0,8,79.0,2.0256410256410255,5.53751408759541,8,274.0,0.2529540717229784,8,274.0
180.0,13,117.0,3.1621621621621623,5.067160325545189,13,248.0,0.23485454054818342,13,248.0
185.0,15,140.0,3.4146341463414633,4.927340916520695,15,261.0,0.21643577967169048,15,261.0
190.0,10,147.0,3.5853658536585367,6.299778699464202,10,244.0,0.3298562492288606,10,244.0
195.0,9,171.0,4.384615384615385,6.1273670656001835,9,219.0,0.2356392239651858,9,219.0
200.0,7,130.0,3.3333333333333335,6.475213175117412,7,186.0,0.33409573560827893,7,186.0
205.0,16,192.0,5.333333333333333,4.686925314820995,16,233.0,0.16903639856210098,16,233.0
210.0,22,287.0,7.756756756756757,4.207740582193727,22,328.0,0.1809511138825588,22,328.0
215.0,19,324.0,10.125,1.2869374100092479,19,400.0,0.04638555350425853,19,400.0
220.0,15,316.0,7.348837209302325,5.742777754503328,15,408.0,0.3441521374354363,15,408.0
225.0,11,212.0,4.930232558139535,5.718681955321298,11,334.0,0.3190143769616328,11,334.0
230.0,19,289.0,6.282608695652174,4.4786193615053,19,411.0,0.21826703998444705,19,411.0
235.0,23,353.0,8.404761904761905,2.616343611160741,23,483.0,0.1046895034359149,23,483.0
240.0,21,404.0,9.181818181818182,4.073957333397562,21,516.0,0.16312537011927752,21,516.0
245.0,13,161.0,3.659090909090909,4.827584360604059,13,450.0,0.20256657470306785,13,450.0
250.0,10,97.0,2.255813953488372,5.268429973310529,10,316.0,0.2610509854238869,10,316.0
255.0,13,118.0,2.5652173913043477,5.277317689849014,13,278.0,0.2547620179492889,13,278.0
260.0,13,149.0,3.311111111111111,5.551220254951298,13,282.0,0.30720761550153386,13,282.0
265.0,11,65.0,1.4772727272727273,4.103443565386808,11,274.0,0.19645182402832806,11,274.0
270.0,18,141.0,3.1333333333333333,4.763464478020804,18,289.0,0.23049935823374326,18,289.0
275.0,20,190.0,4.523809523809524,2.936450982783887,20,346.0,0.07686617152790119,20,346.0
280.0,18,220.0,5.0,4.670916132853066,18,375.0,0.22775721929848147,18,375.0
285.0,10,97.0,2.3095238095238093,3.904985730208474,10,336.0,0.16425140478039746,10,336.0
290.0,10,64.0,1.3061224489795917,6.167853975611894,10,255.0,0.3510694026502082,10,255.0
295.0,10,69.0,1.4375,5.485369899834356,10,216.0,0.29531152782165077,10,216.0
300.0,11,80.0,1.702127659574468,5.121303461262201,11,199.0,0.23708952099543254,11,199.0
305.0,16,125.0,2.717391304347826,5.736471099063058,16,200.0,0.2272733765939268,16,200.0
310.0,14,179.0,4.261904761904762,4.653773338543865,14,262.0,0.21162060913815015,14,262.0
315.0,22,273.0,6.5,3.52809344951986,22,356.0,0.1664651967374693,22,356.0
320.0,23,343.0,8.365853658536585,2.5176749989102447,23,442.0,0.13086481524237664,23,442.0
325.0,18,391.0,8.688888888888888,4.195508965810062,18,494.0,0.22823489313029577,18,494.0
330.0,14,247.0,5.25531914893617,4.599204242515023,14,468.0,0.2354750547922312,14,468.0
335.0,19,328.0,7.130434782608695,4.036025319484288,19,449.0,0.18547022473046637,19,449.0
340.0,22,389.0,8.27659574468085,3.230438574609083,22,523.0,0.08774538108129579,22,523.0
345.0,20,438.0,9.521739130434783,3.8519078700616203,20,567.0,0.15282177585755607,20,567.0
350.0,15,197.0,4.282608695652174,4.049171961564177,15,513.0,0.15337560876966558,15,513.0
355.0,10,76.0,1.6888888888888889,4.855310596968627,10,372.0,0.22376468276737552,10,372.0
360.0,12,93.0,2.1627906976744184,3.967176341773963,12,318.0,0.12799307551507866,12,318.0
365.0,16,118.0,2.3137254901960786,5.941717415758809,16,320.0,0.32240762806455503,16,320.0
370.0,11,162.0,3.4468085106382977,5.921059172931979,11,310.0,0.258621922322303,11,310.0
375.0,11,141.0,2.877551020408163,4.9393300362647015,11,286.0,0.24631776410546502,11,286.0
380.0,17,181.0,4.113636363636363,4.514763984266145,17,265.0,0.20145743771660563,17,265.0
385.0,20,236.0,5.0212765957446805,3.6619556678629803,20,327.0,0.1633435511936442,20,327.0
390.0,19,295.0,6.704545454545454,3.8056626429158835,19,380.0,0.1283356036472686,19,380.0
395.0,11,134.0,2.977777777777778,4.373742185997152,11,338.0,0.1929766119344277,11,338.0
400.0,16,180.0,3.9130434782608696,4.504100442585571,16,294.0,0.23196856306802802,16,294.0
405.0,19,232.0,4.833333333333333,4.427975297716647,19,352.0,0.23858210189293855,19,352.0
410.0,17,275.0,5.851063829787234,3.9897117788487346,17,382.0,0.1312065023377532,17,382.0
415.0,14,171.0,3.5625,4.795993532723702,14,382.0,0.23490985229277342,14,382.0
420.0,16,181.0,4.209302325581396,3.99094363886522,16,287.0,0.1334569712966886,16,287.0
425.0,16,220.0,4.680851063829787,4.521920394763048,16,337.0,0.18988130485832605,16,337.0
430.0,16,252.0,5.8604651162790695,4.112686926912603,16,357.0,0.10701761622543501,16,357.0
435.0,14,300.0,5.882352941176471,6.8225942320658755,14,385.0,0.36484771350797757,14,385.0
440.0,9,293.0,6.23404255319149,6.250180548935465,9,402.0,0.35409359386318867,9,402.0
445.0,16,355.0,7.395833333333333,5.4160982898848244,16,427.0,0.276406616024576,16,427.0
450.0,19,404.0,8.977777777777778,4.0834863424733285,19,491.0,0.1348886488373493,19,491.0
455.0,17,453.0,10.066666666666666,5.0067163396041,17,522.0,0.18190929370998288,17,522.0
460.0,11,248.0,5.767441860465116,4.898348374205122,11,469.0,0.21096727317220632,11,469.0
465.0,15,265.0,6.309523809523809,5.668483524131487,15,372.0,0.29036861938007236,15,372.0
470.0,19,122.0,2.7111111111111112,4.942055544853417,19,256.0,0.24815128608293685,19,256.0
475.0,25,243.0,5.651162790697675,4.491650031992602,25,334.0,0.21664366890010894,25,334.0
480.0,22,264.0,6.285714285714286,2.922713978196107,22,408.0,0.12321906986724825,22,408.0
485.0,22,220.0,5.116279069767442,4.088421751073927,22,428.0,0.1842709589700196,22,428.0
490.0,14,216.0,4.909090909090909,5.239310077638298,14,396.0,0.1729821204797616,14,396.0
495.0,10,165.0,3.75,5.509474276643129,10,385.0,0.27740593004489,10,385.0
500.0,16,231.0,5.923076923076923,4.538997667121675,16,406.0,0.20743501059149294,16,406.0
505.0,17,272.0,6.181818181818182,4.458071088275706,17,443.0,0.21066681889195257,17,443.0
510.0,14,305.0,6.630434782608695,5.872089032096454,14,432.0,0.32818360447959866,14,432.0
515.0,9,80.0,1.8181818181818181,4.905417231503293,9,359.0,0.24655363962986407,9,359.0
520.0,11,41.0,0.8913043478260869,4.740893097982963,11,249.0,0.2175168335574761,11,249.0
525.0,19,71.0,1.6511627906976745,3.1992861265656134,19,278.0,0.10268860478948716,19,278.0
530.0,19,107.0,2.3777777777777778,4.434120125600299,19,289.0,0.1990080789136557,19,289.0
535.0,15,171.0,3.9767441860465116,5.442439834248853,15,300.0,0.190414685441773,15,300.0
540.0,12,152.0,3.5348837209302326,4.724712727495794,12,292.0,0.20502979500759247,12,292.0
545.0,13,185.0,4.204545454545454,5.641335144164642,13,265.0,0.2779218250366157,13,265.0
550.0,17,217.0,4.822222222222222,4.7703535760339655,17,314.0,0.23184678116508137,17,314.0
555.0,18,258.0,6.0,3.6489841023386735,18,347.0,0.12454299104617357,18,347.0
560.0,14,160.0,3.5555555555555554,4.47559671337273,14,351.0,0.21446127822485428,14,351.0
565.0,18,217.0,5.046511627906977,4.063040682750847,18,333.0,0.14400428776713334,18,333.0
570.0,20,270.0,6.0,4.322794272896986,20,392.0,0.16853268131258967,20,392.0
575.0,15,300.0,7.317073170731708,3.659332255634298,15,416.0,0.08586129857261875,15,416.0
580.0,15,363.0,7.26,7.101251666027231,15,436.0,0.37125360041024025,15,436.0
585.0,12,295.0,6.413043478260869,5.809898635786213,12,374.0,0.3011335695332608,12,374.0
590.0,22,385.0,8.191489361702128,3.9206416298267532,22,464.0,0.1831426722106456,22,464.0
595.0,24,464.0,10.545454545454545,2.8436770929592963,24,559.0,0.12610820647363222,24,559.0
600.0,20,527.0,11.977272727272727,3.5196515610986427,20,619.0,0.15281804989990047,20,619.0
605.0,17,300.0,6.521739130434782,3.548581758529416,17,583.0,0.14334341523223468,17,583.0
610.0,15,164.0,3.5652173913043477,4.21343580460075,15,443.0,0.17559102047140346,15,443.0
615.0,14,185.0,3.7,4.887065515012864,14,399.0,0.2304059636418445,14,399.0
620.0,17,207.0,4.14,5.591481690450931,17,422.0,0.2835023458957453,17,422.0
625.0,13,67.0,1.3958333333333333,4.253298988701008,13,387.0,0.17318394846189417,13,387.0
630.0,17,142.0,3.021276595744681,5.012454171136252,17,364.0,0.22973304223613392,17,364.0
635.0,22,202.0,4.488888888888889,3.0913341081627475,22,427.0,0.07278034948574504,22,427.0
640.0,18,247.0,5.369565217391305,4.40409652422972,18,469.0,0.21057462416024614,18,469.0
645.0,18,317.0,7.204545454545454,2.6257396063168343,18,557.0,0.0830727256637748,18,557.0
650.0,26,433.0,8.490196078431373,3.7700220533272066,26,673.0,0.23247229296974872,26,673.0
655.0,27,518.0,10.36,2.948915004580227,27,770.0,0.20358777388727992,27,770.0
660.0,24,574.0,11.038461538461538,3.478862213830025,24,803.0,0.1524120929573606,24,803.0
665.0,19,370.0,6.607142857142857,3.648559616325359,19,746.0,0.1357055587017228,19,746.0
670.0,16,140.0,2.5925925925925926,4.188367935885604,16,583.0,0.16208693092585758,16,583.0
675.0,21,230.0,4.2592592592592595,4.819435897087228,21,500.0,0.2011980051094196,21,500.0
680.0,23,279.0,5.365384615384615,3.71596193169443,23,500.0,0.1324815311736828,23,500.0
685.0,25,312.0,5.777777777777778,4.179911372818294,25,516.0,0.15650290596004623,25,516.0
690.0,17,155.0,2.980769230769231,4.459840799684627,17,518.0,0.21101279141126789,17,518.0
695.0,18,207.0,4.14,3.4929952210053914,18,502.0,0.15768539201712584,18,502.0
700.0,21,204.0,4.0,3.2707049734225664,21,525.0,0.1275833757535932,21,525.0
705.0,26,273.0,5.352941176470588,3.6235349349755097,26,514.0,0.1177425823888996,26,514.0
710.0,27,309.0,6.0588235294117645,3.088210927187081,27,582.0,0.07071707289493906,27,582.0
715.0,24,292.0,5.7254901960784315,3.6288630882991866,24,591.0,0.10752492923648983,24,591.0
720.0,20,291.0,6.191489361702128,4.428980782843258,20,539.0,0.1074552313229485,20,539.0
725.0,15,305.0,5.648148148148148,6.715525789396567,15,498.0,0.3220949925110629,15,498.0
730.0,11,212.0,4.416666666666667,6.167847948972593,11,425.0,0.34351406819844493,11,425.0
