step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.946070046859505,0,0.0,0.9342535017277328,0,0.0
10.0,0,0.0,0.0,12.650663236811011,0,0.0,0.913565149927282,0,0.0
15.0,6,8.0,0.4444444444444444,7.57181288201029,6,8.0,0.42210219468481497,6,8.0
20.0,4,24.0,1.3333333333333333,8.604809863954902,4,30.0,0.5343416628416936,4,30.0
25.0,6,46.0,2.1904761904761907,6.898607743366153,6,46.0,0.3660484424288283,6,46.0
30.0,6,76.0,3.8,7.316788798589909,6,77.0,0.42435422651549787,6,77.0
35.0,6,106.0,5.0476190476190474,8.282818785098224,6,106.0,0.40567246839420584,6,106.0
40.0,3,54.0,2.076923076923077,8.906284047652854,3,86.0,0.535270249078633,3,86.0
45.0,4,71.0,2.84,8.713954707916699,4,71.0,0.5205870472181523,4,71.0
50.0,2,72.0,2.88,7.668311787388211,2,81.0,0.4071833165804226,2,81.0
55.0,8,104.0,4.16,8.598594576938646,8,104.0,0.388941642439953,8,104.0
60.0,6,114.0,4.956521739130435,7.834043707099039,6,124.0,0.3176777415507047,6,124.0
65.0,8,149.0,6.208333333333333,6.834061534733721,8,149.0,0.3320514655339024,8,149.0
70.0,6,172.0,8.19047619047619,6.590810420286469,6,179.0,0.36212373306728046,6,179.0
75.0,7,205.0,7.068965517241379,8.652861248723616,7,205.0,0.5538105345695417,7,205.0
80.0,8,117.0,4.0344827586206895,8.733608555177499,8,117.0,0.558394560597008,8,117.0
85.0,10,160.0,5.333333333333333,6.5113433794858055,10,160.0,0.37015641857984094,10,160.0
90.0,12,60.0,2.0689655172413794,5.445167360054907,12,147.0,0.2859324233773051,12,147.0
95.0,10,97.0,3.2333333333333334,6.124534757477974,10,110.0,0.29162973624782823,10,110.0
100.0,12,71.0,2.3666666666666667,5.952740608955802,12,132.0,0.27065520361053064,12,132.0
105.0,8,95.0,3.1666666666666665,6.674181183386114,8,126.0,0.3304834931830203,8,126.0
110.0,10,139.0,4.088235294117647,8.947020977431482,10,152.0,0.4623684275748289,10,152.0
115.0,8,82.0,2.7333333333333334,7.878536354076772,8,144.0,0.4623450409250856,8,144.0
