step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.251270881804802,0,0.0,0.8948420028112638,0,0.0
10.0,0,0.0,0.0,12.038694751373205,0,0.0,0.8878239978243601,0,0.0
15.0,5,7.0,0.3888888888888889,5.710553270787191,5,7.0,0.37264533019949175,5,7.0
20.0,10,52.0,2.888888888888889,5.57651924961252,10,52.0,0.3258800017484477,10,52.0
25.0,10,66.0,3.0,4.061436155601696,10,80.0,0.24874339416799063,10,80.0
30.0,12,125.0,5.681818181818182,4.985783930032908,12,125.0,0.2475678614512906,12,125.0
35.0,8,88.0,3.3846153846153846,5.5863360812790965,8,142.0,0.28818174463672336,8,142.0
40.0,6,88.0,3.142857142857143,7.364815962500424,6,98.0,0.42235836185590453,6,98.0
45.0,0,0.0,0.0,8.203562443257036,0,60.0,0.4829754280998105,0,60.0
50.0,9,27.0,0.9,7.3629125856993305,9,37.0,0.3739867875025378,9,37.0
55.0,14,88.0,2.933333333333333,5.944329233889234,14,98.0,0.23789582468220977,14,98.0
60.0,12,126.0,4.846153846153846,4.664584995174991,12,150.0,0.21806126495475753,12,150.0
65.0,18,204.0,7.285714285714286,4.474756935397553,18,214.0,0.22453783106998346,18,214.0
70.0,18,294.0,10.5,3.0789590081627467,18,304.0,0.11909165766261821,18,304.0
75.0,24,402.0,10.864864864864865,4.554749409489872,24,412.0,0.3032927526025859,24,412.0
80.0,24,522.0,14.5,3.589845764199632,24,532.0,0.2525047820012892,24,532.0
85.0,30,655.0,15.595238095238095,2.981247207086891,30,665.0,0.16201514858732816,30,665.0
90.0,31,805.0,19.166666666666668,2.158110260812244,31,815.0,0.06803549970503105,31,815.0
95.0,35,972.0,22.09090909090909,2.2657808026016917,35,982.0,0.10069024802250735,35,982.0
100.0,33,832.0,18.488888888888887,1.6405882327604553,33,1043.0,0.06385389564829692,33,1043.0
105.0,25,523.0,11.127659574468085,3.3228269286504757,25,975.0,0.14903968608331697,25,975.0
110.0,21,358.0,6.754716981132075,4.421184347917181,21,980.0,0.19897800790572026,21,980.0
115.0,21,364.0,7.137254901960785,3.4202836540764916,21,1085.0,0.19372892698437208,21,1085.0
120.0,25,437.0,9.297872340425531,1.8058349998652736,25,1170.0,0.10371461106003294,25,1170.0
125.0,32,585.0,11.037735849056604,2.2731030914246357,32,1318.0,0.08160987209143962,32,1318.0
130.0,40,767.0,14.203703703703704,1.207493135320033,40,1500.0,0.01846522842509498,40,1500.0
135.0,50,992.0,18.37037037037037,0.4834490435104399,50,1725.0,0.036993554873830735,50,1725.0
140.0,52,1246.0,23.074074074074073,0.2847130225044531,52,1979.0,0.02308996868940537,52,1979.0
145.0,54,1512.0,25.2,1.3346090344100445,54,2245.0,0.10000811462354164,54,2245.0
150.0,48,1552.0,25.032258064516128,1.8382928093614348,48,2334.0,0.12823173567948862,48,2334.0
155.0,39,1413.0,22.79032258064516,2.598295378587423,39,2226.0,0.12678729965266694,39,2226.0
160.0,36,1333.0,20.828125,3.6700250489887347,36,1978.0,0.10719198084636963,36,1978.0
165.0,31,1241.0,20.683333333333334,4.296306420013561,31,1903.0,0.14828864630595573,31,1903.0
170.0,23,613.0,10.946428571428571,4.316311737967618,23,1768.0,0.20535417626506153,23,1768.0
175.0,17,186.0,3.3214285714285716,4.2686695171813565,17,1437.0,0.19473682442595128,17,1437.0
180.0,15,130.0,2.280701754385965,3.792362829358664,15,1407.0,0.16709977939543016,15,1407.0
185.0,29,250.0,3.9682539682539684,3.4130153535188104,29,1493.0,0.15022334659231631,29,1493.0
190.0,40,370.0,5.967741935483871,1.9828357339466487,40,1613.0,0.07630969813649115,40,1613.0
195.0,52,606.0,9.774193548387096,0.8249135920194596,52,1849.0,0.03433307382593993,52,1849.0
200.0,52,709.0,11.435483870967742,0.8604377326191898,52,1961.0,0.02284949962199387,52,1961.0
205.0,44,702.0,11.32258064516129,2.096520639489372,44,1901.0,0.07632422307329093,44,1901.0
210.0,33,655.0,10.564516129032258,2.670492411204987,33,1999.0,0.0825352656517993,33,1999.0
215.0,32,627.0,10.810344827586206,2.3113574261358836,32,2136.0,0.06387899696565628,32,2136.0
220.0,34,689.0,10.936507936507937,3.1721850375612353,34,2299.0,0.17039746410119583,34,2299.0
225.0,42,881.0,14.209677419354838,1.8034196843601351,42,2491.0,0.1243907046723953,42,2491.0
230.0,45,820.0,12.424242424242424,1.1224244631299813,45,2489.0,0.054004822797905,45,2489.0
235.0,46,647.0,9.514705882352942,1.7457820638619932,46,2345.0,0.03951530376685984,46,2345.0
240.0,43,677.0,10.104477611940299,2.9140803729846474,43,2175.0,0.06453623482686358,43,2175.0
245.0,43,892.0,13.515151515151516,3.7061216759223377,43,2211.0,0.125042191952367,43,2211.0
250.0,40,1051.0,16.951612903225808,2.8661862700928413,40,2317.0,0.058930037109303966,40,2317.0
255.0,47,1272.0,20.516129032258064,2.8090626102911136,47,2522.0,0.09951862641583525,47,2522.0
260.0,42,1462.0,25.649122807017545,2.376458119144099,42,2689.0,0.11499331243549546,42,2689.0
265.0,41,1652.0,29.5,2.600406454848344,41,2825.0,0.08957709936222724,41,2825.0
270.0,39,1513.0,27.017857142857142,2.553117550390436,39,2779.0,0.05300478563828206,39,2779.0
275.0,31,1142.0,22.392156862745097,2.5281007648703655,31,2490.0,0.06259090061686488,31,2490.0
280.0,25,860.0,16.862745098039216,4.547587159347106,25,1971.0,0.136786511718734,25,1971.0
285.0,17,550.0,11.956521739130435,5.671955765263482,17,1702.0,0.23999357595393375,17,1702.0
290.0,13,311.0,6.22,7.562924266108548,13,1323.0,0.41680933532477193,13,1323.0
295.0,9,258.0,5.26530612244898,7.030937199443301,9,1326.0,0.4216457074378971,9,1326.0
300.0,13,303.0,6.586956521739131,4.428783622404423,13,1317.0,0.2228188792391962,13,1317.0
305.0,21,242.0,4.745098039215686,3.887500353095601,21,1262.0,0.156646992807067,21,1262.0
310.0,30,378.0,7.411764705882353,3.0907091502688133,30,1392.0,0.10110092803549059,30,1392.0
315.0,34,521.0,9.648148148148149,2.265017059443927,34,1536.0,0.06775964372313413,34,1536.0
320.0,41,713.0,13.711538461538462,1.49392009694587,41,1719.0,0.04138924395884489,41,1719.0
325.0,46,934.0,16.678571428571427,2.0384583277897432,46,1941.0,0.08623277121092045,46,1941.0
330.0,48,1171.0,21.29090909090909,1.6144900028377922,48,2178.0,0.10297044477331024,48,2178.0
335.0,42,1177.0,21.796296296296298,0.9082001095085253,42,2184.0,0.0515140166990994,42,2184.0
340.0,37,1029.0,18.375,2.513038554281849,37,1836.0,0.0810747763456046,37,1836.0
345.0,32,941.0,16.803571428571427,3.148539347067577,32,1897.0,0.10176270283427087,32,1897.0
350.0,30,812.0,15.320754716981131,2.122725666485526,30,2044.0,0.10028274939504898,30,2044.0
355.0,25,760.0,15.2,1.9493415235452343,25,1970.0,0.12117133603065382,25,1970.0
360.0,23,838.0,15.518518518518519,2.5500689198926842,23,1631.0,0.08401410766772198,23,1631.0
365.0,18,413.0,6.453125,4.155705591770499,18,1541.0,0.21048318195306678,18,1541.0
370.0,14,236.0,3.933333333333333,3.668792359776613,14,1302.0,0.17549351517165906,14,1302.0
375.0,19,292.0,4.786885245901639,3.275426071669253,19,1199.0,0.13902723083065968,19,1199.0
380.0,24,362.0,6.033333333333333,3.0372973991538417,24,1142.0,0.11346730768914004,24,1142.0
385.0,24,462.0,7.573770491803279,3.90182609722557,24,1070.0,0.13521808396665322,24,1070.0
390.0,23,545.0,9.23728813559322,3.6855437277138496,23,1119.0,0.14552654569898477,23,1119.0
395.0,28,671.0,12.660377358490566,2.2698537525625393,28,1247.0,0.10381259941435826,28,1247.0
400.0,37,840.0,14.0,2.2997552966690686,37,1416.0,0.14900074893942014,37,1416.0
405.0,43,1039.0,16.49206349206349,1.2416403355577885,43,1615.0,0.09561514707661352,43,1615.0
410.0,53,1284.0,19.16417910447761,0.562734978907092,53,1860.0,0.04424818314912333,53,1860.0
415.0,63,1584.0,22.956521739130434,0.2956142606865116,63,2160.0,0.02425265061828772,63,2160.0
420.0,63,1743.0,25.26086956521739,0.2950524140058246,63,2352.0,0.008465018443514844,63,2352.0
425.0,53,1786.0,25.154929577464788,1.9097247380673892,53,2386.0,0.06338391730182975,53,2386.0
430.0,47,1851.0,26.070422535211268,3.0243509065570744,47,2309.0,0.07058752698937874,47,2309.0
435.0,38,1866.0,25.216216216216218,4.703043565617796,38,2395.0,0.22369250925969905,38,2395.0
440.0,33,1938.0,28.08695652173913,4.851544135956037,33,2451.0,0.22906471280569765,33,2451.0
445.0,38,2119.0,30.271428571428572,4.699301297803177,38,2501.0,0.20685019857362968,38,2501.0
450.0,41,2322.0,33.17142857142857,4.638046204003133,41,2578.0,0.17332128202347424,41,2578.0
455.0,43,2532.0,37.23529411764706,4.143358148082983,43,2709.0,0.16003805450236838,43,2709.0
460.0,43,2747.0,39.24285714285714,4.315791931444594,43,2924.0,0.19583860009493254,43,2924.0
465.0,45,2967.0,43.63235294117647,3.6364712422882874,45,3144.0,0.16478048536026424,45,3144.0
470.0,40,2400.0,31.57894736842105,4.123092289309597,40,3077.0,0.2166907255261196,40,3077.0
475.0,36,1699.0,22.355263157894736,3.4532529448053317,36,2764.0,0.16390228612693136,36,2764.0
480.0,34,927.0,12.197368421052632,2.8553683109492956,34,2533.0,0.12457110323627896,34,2533.0
485.0,33,332.0,4.2025316455696204,3.246178122851228,33,2004.0,0.1335976932698431,33,2004.0
490.0,33,376.0,4.7,2.659249953164994,33,1942.0,0.1022596942252528,33,1942.0
495.0,42,527.0,6.670886075949367,2.188493066312417,42,1753.0,0.07636572763543359,42,1753.0
500.0,50,742.0,9.512820512820513,2.575434857462157,50,1583.0,0.05374059391972302,50,1583.0
505.0,48,804.0,10.177215189873417,3.0551086540514745,48,1770.0,0.13645401368697557,48,1770.0
