step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.809204193104913,0,0.0,0.9453422714363638,0,0.0
10.0,0,0.0,0.0,13.043137365617623,0,0.0,0.9643015971117878,0,0.0
15.0,6,7.0,0.3888888888888889,5.93871937694672,6,7.0,0.3660724801690841,6,7.0
20.0,10,57.0,3.1666666666666665,5.061973999048419,10,57.0,0.30894959571647423,10,57.0
25.0,6,65.0,2.8260869565217392,5.1029733850871,6,82.0,0.34046894983445614,6,82.0
30.0,8,103.0,4.681818181818182,7.366160611405795,8,103.0,0.3930835946898388,8,103.0
35.0,6,69.0,2.6538461538461537,6.539332520429239,6,105.0,0.3057777338638689,6,105.0
40.0,12,117.0,4.5,6.931871008396889,12,117.0,0.4017230160182476,12,117.0
45.0,8,118.0,3.933333333333333,6.675370267924155,8,146.0,0.38899699794824993,8,146.0
50.0,8,151.0,5.392857142857143,6.2208668230565385,8,154.0,0.3290008815363169,8,154.0
55.0,8,101.0,3.15625,5.938575115797664,8,145.0,0.27691979645637743,8,145.0
60.0,12,152.0,5.62962962962963,6.271392714916965,12,152.0,0.2676410888350531,12,152.0
65.0,8,165.0,5.5,5.757074753240304,8,190.0,0.30275736156204586,8,190.0
70.0,8,205.0,7.884615384615385,7.022891338189067,8,205.0,0.38244211284658297,8,205.0
75.0,7,154.0,4.277777777777778,7.5052390325792215,7,196.0,0.4615388039063209,7,196.0
80.0,13,212.0,6.625,7.163653672767548,13,212.0,0.4132348540229208,13,212.0
85.0,12,226.0,6.277777777777778,5.001095382016467,12,256.0,0.28633051231876366,12,256.0
90.0,13,270.0,8.4375,5.282504350876148,13,287.0,0.29467183966469723,13,287.0
95.0,8,214.0,5.944444444444445,5.900183325381901,8,273.0,0.28196386734799334,8,273.0
100.0,14,272.0,8.0,6.267387919658727,14,277.0,0.2817485777355421,14,277.0
105.0,16,350.0,10.294117647058824,4.8606385964778855,16,355.0,0.20104500694064995,16,355.0
110.0,14,370.0,10.0,5.473479650556899,14,413.0,0.32256807181492675,14,413.0
115.0,10,382.0,11.235294117647058,6.626417223598146,10,424.0,0.3710278858082781,10,424.0
120.0,6,301.0,8.36111111111111,6.370933469290928,6,384.0,0.30595718520453963,6,384.0
125.0,16,362.0,10.055555555555555,5.5691107948088625,16,386.0,0.22335274692517657,16,386.0
130.0,15,407.0,11.970588235294118,5.224997344019962,15,445.0,0.2240767753214811,15,445.0
135.0,11,432.0,12.342857142857143,6.431298022891681,11,463.0,0.2733414817861161,11,463.0
140.0,5,377.0,11.424242424242424,7.0881855367269475,5,442.0,0.33893553251046077,5,442.0
145.0,9,416.0,12.235294117647058,6.013612281598265,9,435.0,0.31328781150625373,9,435.0
150.0,15,480.0,12.972972972972974,6.524509023728537,15,501.0,0.37025882118891207,15,501.0
155.0,11,491.0,14.878787878787879,4.774370786637466,11,541.0,0.2790120462862389,11,541.0
160.0,10,487.0,13.914285714285715,5.691563479112935,10,526.0,0.27313091545565016,10,526.0
165.0,9,72.0,2.057142857142857,5.674213096034567,9,279.0,0.24079893234208016,9,279.0
170.0,16,132.0,3.5675675675675675,5.577445468616741,16,171.0,0.2151303683021155,16,171.0
175.0,16,122.0,3.696969696969697,4.095784750090734,16,202.0,0.12649440364649447,16,202.0
180.0,20,218.0,6.606060606060606,4.106853397579131,20,257.0,0.135487256187462,20,257.0
185.0,18,216.0,5.837837837837838,4.486039809936463,18,306.0,0.21290633677074375,18,306.0
190.0,10,144.0,3.891891891891892,6.928543693423967,10,254.0,0.35446288175239454,10,254.0
195.0,9,158.0,4.157894736842105,6.936354542117427,9,234.0,0.2525408834660391,9,234.0
200.0,6,35.0,0.9459459459459459,6.989318084947788,6,178.0,0.34048857453170517,6,178.0
205.0,10,58.0,1.7575757575757576,6.443508165597065,10,125.0,0.31739749884826585,10,125.0
210.0,18,124.0,3.6470588235294117,5.573497309386688,18,174.0,0.22595506199212667,18,174.0
215.0,12,134.0,4.1875,4.25654801617202,12,204.0,0.12154142918100126,12,204.0
220.0,8,110.0,2.8947368421052633,7.276476464870493,8,183.0,0.4199094923947379,8,183.0
225.0,4,26.0,0.7222222222222222,6.971753127829109,4,156.0,0.3912395001854027,4,156.0
230.0,11,67.0,1.8611111111111112,4.996203573430601,11,144.0,0.23084785610207048,11,144.0
235.0,14,88.0,2.4444444444444446,5.124584830099085,14,177.0,0.17809697685889422,14,177.0
240.0,9,92.0,2.7058823529411766,5.451371479303221,9,137.0,0.19922577872601807,9,137.0
245.0,2,29.0,0.8529411764705882,6.163108402565488,2,114.0,0.27234639368003577,2,114.0
250.0,8,61.0,1.7941176470588236,6.282972285959038,8,111.0,0.2834547727421769,8,111.0
255.0,9,72.0,2.0,6.094143041073433,9,133.0,0.29804052223129107,9,133.0
260.0,5,68.0,1.9428571428571428,7.0976065400836195,5,121.0,0.4011136175833637,5,121.0
265.0,4,81.0,2.3142857142857145,8.076257756535837,4,98.0,0.4263936323935985,4,98.0
270.0,6,94.0,2.6857142857142855,6.766596172150616,6,113.0,0.37403982405158437,6,113.0
275.0,12,148.0,4.774193548387097,5.07659642139249,12,165.0,0.2098941782293778,12,165.0
280.0,13,177.0,5.363636363636363,4.362983514626612,13,216.0,0.22323219668621336,13,216.0
285.0,7,190.0,6.129032258064516,6.018322072060669,7,232.0,0.30412666843850433,7,232.0
290.0,7,138.0,3.5384615384615383,6.93449049976583,7,221.0,0.40582623202810486,7,221.0
295.0,15,197.0,5.324324324324325,6.469619767438236,15,239.0,0.35121874728685376,15,239.0
300.0,13,218.0,5.891891891891892,3.513124950882678,13,280.0,0.16751792902972548,13,280.0
305.0,14,243.0,6.394736842105263,4.869505337619837,14,311.0,0.2438122462694027,14,311.0
310.0,13,133.0,3.41025641025641,4.283100794131964,13,223.0,0.17815180491286073,13,223.0
315.0,19,215.0,5.512820512820513,3.7795698265676023,19,289.0,0.16920540158134317,19,289.0
320.0,21,266.0,6.82051282051282,3.185519546929201,21,352.0,0.13628785874075486,21,352.0
325.0,16,299.0,7.2926829268292686,4.5453343019819386,16,379.0,0.249517348336888,16,379.0
330.0,9,145.0,3.372093023255814,4.799714824135436,9,355.0,0.2487147724985631,9,355.0
335.0,14,170.0,3.953488372093023,4.991438571530128,14,296.0,0.26585310209200613,14,296.0
340.0,20,204.0,4.744186046511628,3.0518747400207102,20,338.0,0.08312688463136123,20,338.0
345.0,19,253.0,5.75,4.58228353476404,19,369.0,0.18946916945118628,19,369.0
350.0,12,83.0,1.930232558139535,4.804885378514608,12,324.0,0.1816845672748516,12,324.0
355.0,15,119.0,2.902439024390244,4.874660915531715,15,269.0,0.2227787956265872,15,269.0
360.0,16,153.0,3.923076923076923,3.2847908063151308,16,294.0,0.05118694664227812,16,294.0
365.0,12,185.0,4.021739130434782,5.9937598285835785,12,300.0,0.34341627361322974,12,300.0
370.0,8,62.0,1.4090909090909092,4.992812058893318,8,262.0,0.253316097250887,8,262.0
375.0,15,69.0,1.5333333333333334,4.494070123684475,15,194.0,0.2148494898314765,15,194.0
380.0,18,104.0,2.3636363636363638,3.067375298488516,18,241.0,0.08555308121183164,18,241.0
385.0,17,124.0,2.6382978723404253,4.617694089834332,17,259.0,0.20359158379779277,17,259.0
390.0,10,82.0,1.9069767441860466,4.696502106139268,10,249.0,0.18303291985724104,10,249.0
395.0,14,138.0,3.2093023255813953,4.361241059870196,14,266.0,0.16383887012083825,14,266.0
400.0,16,178.0,3.9555555555555557,4.076231004732212,16,307.0,0.20861736144578003,16,307.0
405.0,14,222.0,4.933333333333334,5.417077570287726,14,312.0,0.28467356357127,14,312.0
410.0,12,123.0,2.6739130434782608,4.810898233350426,12,293.0,0.19225115375932186,12,293.0
415.0,14,125.0,2.7777777777777777,5.405858512796718,14,241.0,0.276114405162603,14,241.0
420.0,16,157.0,3.738095238095238,3.1178959803911552,16,291.0,0.09728059659020692,16,291.0
425.0,15,189.0,4.2,4.708382006744229,15,311.0,0.21500270830498894,15,311.0
430.0,9,188.0,4.476190476190476,4.401012618676644,9,297.0,0.16003935023863214,9,297.0
435.0,12,231.0,4.8125,6.355324730858183,12,304.0,0.36768985042249874,12,304.0
440.0,13,262.0,5.695652173913044,5.054947997905316,13,341.0,0.2825424598887633,13,341.0
445.0,11,290.0,5.918367346938775,4.597888346488581,11,355.0,0.23372366368470324,11,355.0
450.0,12,208.0,4.521739130434782,3.5688072880362687,12,356.0,0.14221280980477224,12,356.0
455.0,16,268.0,5.702127659574468,4.443015373784642,16,345.0,0.1959782925612993,16,345.0
460.0,19,315.0,6.8478260869565215,3.4390401957232855,19,401.0,0.11077015569694694,19,401.0
465.0,17,354.0,7.866666666666666,4.290964624283147,17,434.0,0.1911119462692136,17,434.0
470.0,15,401.0,8.183673469387756,5.843531034311588,15,455.0,0.26311514925590274,15,455.0
475.0,11,200.0,4.166666666666667,6.520822605432886,11,316.0,0.35690092922358657,11,316.0
480.0,16,268.0,6.232558139534884,3.75857367915503,16,326.0,0.15839977318614926,16,326.0
485.0,23,335.0,7.444444444444445,3.056836054201818,23,409.0,0.1383929601151294,23,409.0
490.0,19,396.0,9.209302325581396,3.405201958599276,19,468.0,0.14139653910591585,19,468.0
495.0,13,196.0,4.170212765957447,5.051340204343762,13,420.0,0.2209065555175245,13,420.0
500.0,11,139.0,3.2325581395348837,4.995372734359837,11,271.0,0.21104769556536623,11,271.0
505.0,13,161.0,3.5,4.897718024846639,13,287.0,0.20766551621265159,13,287.0
510.0,13,195.0,3.979591836734694,6.193036639930683,13,301.0,0.338843698229348,13,301.0
515.0,10,64.0,1.4222222222222223,4.0037628425636065,10,265.0,0.17036290334356707,10,265.0
520.0,18,143.0,3.1777777777777776,3.927630935844558,18,250.0,0.18728155964232607,18,250.0
525.0,19,182.0,4.044444444444444,3.4532631481833373,19,309.0,0.06948221138028354,19,309.0
530.0,19,221.0,4.702127659574468,4.644589161515876,19,342.0,0.18441797548762728,19,342.0
